Date,Open,High,Low,Close,Adj Close,Volume
2017-10-12,1940.000000,1957.750000,1923.000000,1953.150024,1953.150024,1019350
2017-10-13,1955.099976,1973.699951,1948.449951,1953.050049,1953.050049,849832
2017-10-16,1966.000000,1967.000000,1875.349976,1886.300049,1886.300049,2652753
2017-10-17,1880.250000,1902.000000,1856.400024,1867.099976,1867.099976,1782421
2017-10-18,1870.000000,1884.000000,1848.650024,1868.500000,1868.500000,710046
2017-10-19,1872.800049,1872.800049,1832.000000,1845.900024,1845.900024,169845
2017-10-23,1845.000000,1856.900024,1812.199951,1833.750000,1833.750000,1011137
2017-10-24,1848.000000,1848.000000,1816.000000,1826.050049,1826.050049,929872
2017-10-25,1820.000000,1820.000000,1713.550049,1726.349976,1726.349976,2865279
2017-10-26,1739.000000,1766.000000,1700.099976,1746.750000,1746.750000,1641262
2017-10-27,1760.050049,1828.650024,1752.449951,1819.000000,1819.000000,1656079
2017-10-30,1832.000000,1836.250000,1797.800049,1804.300049,1804.300049,563901
2017-10-31,1787.000000,1824.050049,1774.550049,1800.599976,1800.599976,764883
2017-11-01,1809.599976,1819.699951,1801.000000,1806.750000,1806.750000,468999
2017-11-02,1815.000000,1821.900024,1802.000000,1810.199951,1810.199951,458603
2017-11-03,1825.000000,1845.000000,1808.400024,1836.949951,1836.949951,769995
2017-11-06,1818.000000,1844.900024,1811.800049,1822.000000,1822.000000,583097
2017-11-07,1848.000000,1848.000000,1773.300049,1802.550049,1802.550049,769590
2017-11-08,1794.550049,1804.900024,1771.550049,1775.699951,1775.699951,549567
2017-11-09,1787.050049,1793.400024,1733.000000,1753.000000,1753.000000,866349
2017-11-10,1731.099976,1769.000000,1731.099976,1745.000000,1745.000000,805954
2017-11-13,1759.949951,1759.949951,1718.500000,1728.750000,1728.750000,544530
2017-11-14,1731.000000,1769.900024,1720.199951,1754.900024,1754.900024,633554
2017-11-15,1762.099976,1763.949951,1707.050049,1713.800049,1713.800049,926465
2017-11-16,1725.000000,1780.199951,1716.500000,1764.250000,1764.250000,901089
2017-11-17,1790.000000,1817.000000,1778.099976,1787.349976,1787.349976,943939
2017-11-20,1786.800049,1807.500000,1770.050049,1805.250000,1805.250000,602115
2017-11-21,1819.000000,1822.750000,1791.250000,1809.750000,1809.750000,495585
2017-11-22,1816.699951,1816.699951,1768.550049,1773.949951,1773.949951,738204
2017-11-23,1777.000000,1782.449951,1747.000000,1763.650024,1763.650024,587412
2017-11-24,1773.000000,1798.300049,1764.000000,1790.000000,1790.000000,572947
2017-11-27,1780.000000,1784.300049,1765.000000,1773.250000,1773.250000,573099
2017-11-28,1772.000000,1783.949951,1762.500000,1766.400024,1766.400024,552962
2017-11-29,1765.000000,1777.949951,1751.000000,1756.300049,1756.300049,687118
2017-11-30,1754.849976,1759.400024,1722.349976,1727.050049,1727.050049,1304556
2017-12-01,1737.000000,1741.800049,1705.300049,1711.599976,1711.599976,601822
2017-12-04,1724.000000,1724.000000,1670.150024,1675.949951,1675.949951,802041
2017-12-05,1675.949951,1719.000000,1661.050049,1707.400024,1707.400024,1109920
