Date,Open,High,Low,Close,Adj Close,Volume
2013-07-05,460.000000,468.945007,457.000000,466.880005,450.409973,353290
2013-07-08,466.630005,469.899994,463.000000,467.295013,450.810303,653300
2013-07-09,468.029999,477.399994,468.029999,476.255005,459.454224,533050
2013-07-10,478.399994,484.880005,477.005005,478.279999,461.407806,712580
2013-07-11,481.000000,488.765015,481.000000,487.450012,470.254303,468740
2013-07-12,489.945007,489.945007,479.170013,482.670013,465.642883,646070
2013-07-15,480.510010,483.799988,478.605011,481.265015,464.287537,333500
2013-07-16,475.519989,485.880005,475.519989,483.584991,466.525604,336360
2013-07-17,483.000000,503.234985,481.595001,501.154999,483.475861,1478710
2013-07-18,501.600006,522.900024,500.609985,521.309998,502.919861,1825930
2013-07-19,522.109985,524.775024,515.005005,516.539978,498.318085,846650
2013-07-22,518.989990,522.494995,496.725006,505.029999,487.214142,1718900
2013-07-23,502.399994,505.595001,490.100006,494.105011,476.674561,2053240
2013-07-24,491.000000,501.494995,489.500000,498.605011,481.015808,1079600
2013-07-25,500.779999,511.799988,497.690002,508.040009,490.117950,1638100
2013-07-26,511.500000,517.364990,503.899994,507.554993,489.650055,1259820
2013-07-29,507.500000,513.750000,505.494995,511.820007,493.764648,420570
2013-07-30,521.500000,522.400024,502.649994,510.750000,492.732300,898758
2013-07-31,512.000000,513.549988,495.149994,507.600006,489.693451,800891
2013-08-01,515.000000,515.000000,486.299988,498.200012,480.625061,841361
2013-08-02,499.000000,504.149994,492.000000,497.450012,479.901520,986501
2013-08-05,498.100006,500.450012,469.000000,472.799988,456.121124,1753463
2013-08-06,470.000000,470.000000,434.149994,437.350006,421.921661,1513183
2013-08-07,435.299988,439.450012,412.000000,423.200012,408.270844,2441631
2013-08-08,423.200012,435.000000,423.200012,430.799988,415.602753,1000667
2013-08-12,431.450012,439.799988,418.500000,436.899994,421.487518,1050655
2013-08-13,438.899994,441.799988,431.000000,439.950012,424.429993,576780
2013-08-14,442.100006,443.950012,430.000000,434.750000,419.413391,808688
2013-08-16,434.450012,437.000000,414.100006,418.700012,403.929596,1875723
2013-08-19,418.700012,430.850006,398.149994,427.200012,412.129761,1450144
2013-08-20,420.899994,423.950012,411.000000,417.799988,403.061310,1339308
2013-08-21,423.000000,427.649994,411.000000,415.149994,400.504822,1405177
2013-08-22,413.000000,424.500000,412.000000,420.299988,405.473175,715086
2013-08-23,419.000000,425.700012,415.000000,420.049988,405.231934,986872
2013-08-26,421.500000,434.450012,421.000000,427.850006,412.756836,813600
2013-08-27,422.700012,430.500000,405.000000,410.000000,395.536469,1618168
2013-08-28,400.600006,402.850006,373.399994,392.000000,378.171448,2461413
2013-08-29,389.700012,409.500000,389.700012,403.200012,388.976379,1479215
